"customer_ID";"Age";"annual_income(USD)";"education_Basic";"education_2n Cycle";"education_Graduation";"education_Master";"education_PhD";"marital_Single";"marital_Married";"marital_Together";"marital_Divorced";"marital_Widow";"Kids_per_home";"Teens_per_home";"Customer_Days";"customer_years";"Education";"Marital_Status";"Age_group";"Income_bracket";"customer_months"
32;46;68352;0;0;0;0;1;1;0;0;0;0;0;1;2464;6;"PhD";"Single";"45-54";"Upper Middle";82
33;68;28332;0;0;1;0;0;0;1;0;0;0;0;0;2219;6;"Graduation";"Married";"65+";"Low Income";73
34;61;33762;0;0;0;0;1;0;1;0;0;0;2;1;2516;6;"PhD";"Married";"55-65";"Middle Income";83
35;41;2447;0;0;1;0;0;0;1;0;0;0;1;0;2698;7;"Graduation";"Married";"35-44";"Very Low Income";89
36;33;81361;0;0;1;0;0;0;0;0;1;0;0;0;2283;6;"Graduation";"Divorced";"25-34";"Upper Middle";76
37;67;56129;0;0;0;1;0;0;0;1;0;0;0;1;2533;6;"Masters";"Together";"65+";"Middle Income";84
38;75;65846;0;0;0;0;1;0;1;0;0;0;0;0;2567;7;"PhD";"Married";"65+";"Upper Middle";85
39;50;23626;0;0;0;0;1;0;1;0;0;0;1;0;2195;6;"PhD";"Married";"45-54";"Low Income";73
40;63;58138;0;0;1;0;0;1;0;0;0;0;0;0;2822;7;"Graduation";"Single";"55-65";"Middle Income";94
41;54;70287;0;0;1;0;0;0;0;0;1;0;0;0;2612;7;"Graduation";"Divorced";"45-54";"Upper Middle";87
42;43;40246;0;0;1;0;0;0;0;0;1;0;1;0;2716;7;"Graduation";"Divorced";"35-44";"Middle Income";90
43;66;77972;0;0;1;0;0;0;0;1;0;0;0;0;2262;6;"Graduation";"Together";"65+";"Upper Middle";75
44;43;31353;0;0;1;0;0;0;1;0;0;0;1;1;2341;6;"Graduation";"Married";"35-44";"Middle Income";78
45;43;102160;0;0;0;0;1;0;0;1;0;0;0;0;2763;7;"PhD";"Together";"35-44";"High Income";92
46;47;35860;0;0;0;0;1;1;0;0;0;0;1;1;2200;6;"PhD";"Single";"45-54";"Middle Income";73
47;32;41883;0;0;1;0;0;0;0;1;0;0;1;0;2626;7;"Graduation";"Together";"25-34";"Middle Income";87
48;71;58607;0;0;0;0;1;0;1;0;0;0;0;1;2712;7;"PhD";"Married";"65+";"Middle Income";90
49;48;75251;0;0;0;1;0;0;1;0;0;0;0;0;2830;7;"Masters";"Married";"45-54";"Upper Middle";94
50;37;30096;0;0;1;0;0;0;1;0;0;0;1;0;2197;6;"Graduation";"Married";"35-44";"Middle Income";73
51;66;46344;0;0;1;0;0;1;0;0;0;0;1;1;2272;6;"Graduation";"Single";"65+";"Middle Income";75
52;66;65324;0;0;0;0;1;0;1;0;0;0;0;1;2328;6;"PhD";"Married";"65+";"Upper Middle";77
53;40;69661;0;0;0;1;0;0;1;0;0;0;0;0;2206;6;"Masters";"Married";"35-44";"Upper Middle";73
54;52;44377;0;0;0;0;1;0;1;0;0;0;1;1;2791;7;"PhD";"Married";"45-54";"Middle Income";93
55;69;40689;0;0;1;0;0;0;0;1;0;0;0;1;2627;7;"Graduation";"Together";"65+";"Middle Income";87
56;61;87195;0;0;1;0;0;0;1;0;0;0;0;0;2211;6;"Graduation";"Married";"55-65";"Upper Middle";73
57;64;77376;0;0;0;0;1;0;0;1;0;0;1;1;2209;6;"PhD";"Together";"55-65";"Upper Middle";73
58;47;42429;0;0;1;0;0;0;0;0;0;1;0;1;2297;6;"Graduation";"Widow";"45-54";"Middle Income";76
59;53;32557;0;0;0;1;0;1;0;0;0;0;1;0;2284;6;"Masters";"Single";"45-54";"Middle Income";76
60;32;27938;0;0;1;0;0;1;0;0;0;0;1;0;2221;6;"Graduation";"Single";"25-34";"Low Income";74
61;55;36921;0;0;0;0;1;0;0;0;1;0;1;1;2495;6;"PhD";"Divorced";"45-54";"Middle Income";83
62;51;18589;0;0;1;0;0;1;0;0;0;0;0;0;2702;7;"Graduation";"Single";"45-54";"Low Income";90
63;44;75825;0;0;1;0;0;1;0;0;0;0;0;0;2784;7;"Graduation";"Single";"35-44";"Upper Middle";92
64;60;47916;0;0;1;0;0;0;0;0;0;1;0;1;2743;7;"Graduation";"Widow";"55-65";"Middle Income";91
65;52;55954;0;0;0;0;1;0;1;0;0;0;0;1;2277;6;"PhD";"Married";"45-54";"Middle Income";75
66;66;80067;0;0;1;0;0;0;1;0;0;0;0;0;2442;6;"Graduation";"Married";"65+";"Upper Middle";81
67;60;29440;0;0;1;0;0;0;1;0;0;0;1;1;2481;6;"Graduation";"Married";"55-65";"Low Income";82
68;46;46014;0;0;0;1;0;0;0;1;0;0;1;1;2683;7;"Masters";"Together";"45-54";"Middle Income";89
69;32;45204;0;1;0;0;0;0;0;1;0;0;1;0;2238;6;"2n_Cycle";"Together";"25-34";"Middle Income";74
70;44;53359;0;0;1;0;0;0;1;0;0;0;1;1;2557;7;"Graduation";"Married";"35-44";"Middle Income";85
71;28;92859;0;0;0;1;0;1;0;0;0;0;0;0;2777;7;"Masters";"Single";"25-34";"High Income";92
72;35;19510;0;0;0;1;0;0;1;0;0;0;2;0;2457;6;"Masters";"Married";"25-34";"Low Income";81
73;38;75777;0;0;0;1;0;1;0;0;0;0;0;0;2519;6;"Masters";"Single";"35-44";"Upper Middle";83
74;48;51813;0;0;1;0;0;0;0;0;1;0;1;1;2603;7;"Graduation";"Divorced";"45-54";"Middle Income";86
75;44;26326;0;1;0;0;0;0;0;1;0;0;0;0;2457;6;"2n_Cycle";"Together";"35-44";"Low Income";81
76;35;70951;0;0;1;0;0;0;1;0;0;0;0;0;2580;7;"Graduation";"Married";"25-34";"Upper Middle";86
77;66;86718;0;0;1;0;0;0;1;0;0;0;0;0;2687;7;"Graduation";"Married";"65+";"Upper Middle";89
78;69;78497;0;1;0;0;0;0;1;0;0;0;0;0;2369;6;"2n_Cycle";"Married";"65+";"Upper Middle";78
79;44;30992;0;0;1;0;0;0;0;0;1;0;1;0;2592;7;"Graduation";"Divorced";"35-44";"Middle Income";86
80;44;59809;0;0;1;0;0;0;1;0;0;0;0;2;2778;7;"Graduation";"Married";"35-44";"Middle Income";92
81;43;41443;0;0;1;0;0;0;1;0;0;0;1;0;2248;6;"Graduation";"Married";"35-44";"Middle Income";74
82;55;40637;0;0;0;0;1;1;0;0;0;0;1;1;2506;6;"PhD";"Single";"45-54";"Middle Income";83
83;55;56046;0;0;1;0;0;0;0;1;0;0;0;0;2702;7;"Graduation";"Together";"45-54";"Middle Income";90
84;47;46854;0;0;0;0;1;1;0;0;0;0;1;1;2249;6;"PhD";"Single";"45-54";"Middle Income";74
85;42;52195;0;1;0;0;0;1;0;0;0;0;2;1;2207;6;"2n_Cycle";"Single";"35-44";"Middle Income";73
86;41;24594;1;0;0;0;0;0;0;1;0;0;1;0;2360;6;"Basic";"Together";"35-44";"Low Income";78
87;37;101970;0;0;1;0;0;1;0;0;0;0;0;0;2633;7;"Graduation";"Single";"35-44";"High Income";87
88;51;72460;0;0;1;0;0;0;1;0;0;0;0;0;2386;6;"Graduation";"Married";"45-54";"Upper Middle";79
89;37;50150;0;0;0;0;1;0;1;0;0;0;0;0;2533;6;"PhD";"Married";"35-44";"Middle Income";84
90;35;29760;0;0;1;0;0;1;0;0;0;0;1;0;2828;7;"Graduation";"Single";"25-34";"Low Income";94
91;72;83790;0;0;0;1;0;0;1;0;0;0;0;0;2385;6;"Masters";"Married";"65+";"Upper Middle";79
92;68;69142;0;0;1;0;0;0;0;0;1;0;0;1;2159;5;"Graduation";"Divorced";"65+";"Upper Middle";71
93;68;62998;0;0;1;0;0;0;1;0;0;0;0;1;2431;6;"Graduation";"Married";"65+";"Upper Middle";81
94;44;65104;0;0;0;1;0;0;0;1;0;0;0;1;2386;6;"Masters";"Together";"35-44";"Upper Middle";79
95;62;61331;0;0;0;1;0;1;0;0;0;0;1;1;2635;7;"Masters";"Single";"55-65";"Upper Middle";87
96;55;71488;0;1;0;0;0;0;0;1;0;0;0;0;2655;7;"2n_Cycle";"Together";"45-54";"Upper Middle";88
97;60;47823;0;1;0;0;0;1;0;0;0;0;0;1;2500;6;"2n_Cycle";"Single";"55-65";"Middle Income";83
98;45;23957;0;0;1;0;0;0;1;0;0;0;1;0;2768;7;"Graduation";"Married";"35-44";"Low Income";92
99;51;26304;0;0;1;0;0;0;1;0;0;0;1;0;2530;6;"Graduation";"Married";"45-54";"Low Income";84
100;36;18890;0;0;0;1;0;1;0;0;0;0;0;0;2755;7;"Masters";"Single";"35-44";"Low Income";91
101;66;44551;0;0;0;1;0;0;0;0;0;1;0;1;2461;6;"Masters";"Widow";"65+";"Middle Income";82
102;52;75922;0;0;1;0;0;1;0;0;0;0;0;0;2361;6;"Graduation";"Single";"45-54";"Upper Middle";78
103;58;86111;0;0;1;0;0;0;1;0;0;0;0;0;2595;7;"Graduation";"Married";"55-65";"Upper Middle";86
104;56;49096;0;0;1;0;0;0;1;0;0;0;1;1;2437;6;"Graduation";"Married";"55-65";"Middle Income";81
105;50;36138;0;0;0;1;0;0;1;0;0;0;1;1;2507;6;"Masters";"Married";"45-54";"Middle Income";83
106;36;79607;0;0;1;0;0;1;0;0;0;0;0;0;2593;7;"Graduation";"Single";"35-44";"Upper Middle";86
107;61;34554;0;0;0;0;1;1;0;0;0;0;0;1;2250;6;"PhD";"Single";"55-65";"Middle Income";75
108;32;29604;0;0;1;0;0;0;0;1;0;0;1;0;2362;6;"Graduation";"Together";"25-34";"Low Income";78
109;50;77622;0;0;0;0;1;0;0;1;0;0;0;2;2235;6;"PhD";"Together";"45-54";"Upper Middle";74
110;47;23559;0;1;0;0;0;0;1;0;0;0;1;0;2520;6;"2n_Cycle";"Married";"45-54";"Low Income";84
111;51;73448;0;0;1;0;0;0;1;0;0;0;0;0;2298;6;"Graduation";"Married";"45-54";"Upper Middle";76
112;51;52413;0;0;1;0;0;0;1;0;0;0;0;2;2671;7;"Graduation";"Married";"45-54";"Middle Income";89
113;54;43482;0;0;1;0;0;0;0;1;0;0;2;1;2387;6;"Graduation";"Together";"45-54";"Middle Income";79
114;58;81975;0;1;0;0;0;0;0;0;1;0;0;1;2699;7;"2n_Cycle";"Divorced";"55-65";"Upper Middle";89
115;63;50388;0;0;1;0;0;1;0;0;0;0;0;1;2191;5;"Graduation";"Single";"55-65";"Middle Income";73
116;67;69267;0;0;1;0;0;1;0;0;0;0;0;0;2804;7;"Graduation";"Single";"65+";"Upper Middle";93
117;39;38547;0;0;1;0;0;0;0;1;0;0;1;0;2464;6;"Graduation";"Together";"35-44";"Middle Income";82
118;62;49967;0;0;1;0;0;1;0;0;0;0;0;1;2515;6;"Graduation";"Single";"55-65";"Middle Income";83
119;67;62551;0;0;1;0;0;0;0;0;1;0;0;0;2382;6;"Graduation";"Divorced";"65+";"Upper Middle";79
120;58;50785;0;0;1;0;0;1;0;0;0;0;1;1;2451;6;"Graduation";"Single";"55-65";"Middle Income";81
121;62;64961;0;0;1;0;0;0;0;1;0;0;0;1;2712;7;"Graduation";"Together";"55-65";"Upper Middle";90
122;37;31788;0;0;0;1;0;1;0;0;0;0;1;0;2260;6;"Masters";"Single";"35-44";"Middle Income";75
123;61;52332;0;0;1;0;0;0;0;0;1;0;0;0;2464;6;"Graduation";"Divorced";"55-65";"Middle Income";82
124;49;22804;0;0;1;0;0;1;0;0;0;0;1;0;2492;6;"Graduation";"Single";"45-54";"Low Income";83
125;57;48721;0;0;0;1;0;0;0;0;1;0;1;1;2571;7;"Masters";"Divorced";"55-65";"Middle Income";85
126;45;61905;0;0;0;0;1;0;0;1;0;0;0;1;2304;6;"PhD";"Together";"35-44";"Upper Middle";76
127;40;30732;0;0;0;0;1;0;1;0;0;0;1;0;2699;7;"PhD";"Married";"35-44";"Middle Income";89
128;32;16248;0;1;0;0;0;0;1;0;0;0;1;0;2209;6;"2n_Cycle";"Married";"25-34";"Low Income";73
129;32;66951;0;0;1;0;0;1;0;0;0;0;0;0;2398;6;"Graduation";"Single";"25-34";"Upper Middle";79
130;55;57912;0;0;0;0;1;0;0;0;1;0;0;1;2263;6;"PhD";"Divorced";"45-54";"Middle Income";75
131;30;73687;0;0;1;0;0;0;1;0;0;0;0;0;2372;6;"Graduation";"Married";"25-34";"Upper Middle";79
132;74;66835;0;0;0;1;0;0;1;0;0;0;0;0;2433;6;"Masters";"Married";"65+";"Upper Middle";81
133;47;35688;0;1;0;0;0;0;1;0;0;0;2;1;2835;7;"2n_Cycle";"Married";"45-54";"Middle Income";94
134;60;29315;0;0;1;0;0;0;1;0;0;0;1;1;2243;6;"Graduation";"Married";"55-65";"Low Income";74
135;42;38557;0;0;1;0;0;1;0;0;0;0;1;0;2716;7;"Graduation";"Single";"35-44";"Middle Income";90
136;62;35246;0;0;1;0;0;0;0;0;1;0;1;1;2233;6;"Graduation";"Divorced";"55-65";"Middle Income";74
137;63;26091;0;0;1;0;0;0;0;1;0;0;1;1;2283;6;"Graduation";"Together";"55-65";"Low Income";76
138;36;30477;0;0;0;1;0;0;1;0;0;0;1;0;2317;6;"Masters";"Married";"35-44";"Middle Income";77
139;62;61074;0;0;1;0;0;0;1;0;0;0;0;1;2840;7;"Graduation";"Married";"55-65";"Upper Middle";94
140;64;58821;0;1;0;0;0;0;0;1;0;0;0;1;2419;6;"2n_Cycle";"Together";"55-65";"Middle Income";80
141;58;63887;0;0;1;0;0;0;0;0;1;0;0;1;2818;7;"Graduation";"Divorced";"55-65";"Upper Middle";93
142;57;33378;0;0;1;0;0;0;0;0;1;0;1;1;2667;7;"Graduation";"Divorced";"55-65";"Middle Income";88
143;54;49605;0;0;0;1;0;0;1;0;0;0;0;0;2167;5;"Masters";"Married";"45-54";"Middle Income";72
144;59;28249;1;0;0;0;0;0;1;0;0;0;0;0;2173;5;"Basic";"Married";"55-65";"Low Income";72
145;55;33456;0;0;1;0;0;0;0;1;0;0;1;1;2228;6;"Graduation";"Together";"45-54";"Middle Income";74
146;42;46377;0;0;0;0;1;0;1;0;0;0;1;0;2279;6;"PhD";"Married";"35-44";"Middle Income";75
147;56;31686;0;0;0;0;1;0;1;0;0;0;1;1;2183;5;"PhD";"Married";"55-65";"Middle Income";72
148;31;38360;0;0;1;0;0;0;1;0;0;0;1;0;2553;6;"Graduation";"Married";"25-34";"Middle Income";85
149;55;71613;0;0;1;0;0;0;0;1;0;0;0;0;2471;6;"Graduation";"Together";"45-54";"Upper Middle";82
150;32;39747;0;0;1;0;0;1;0;0;0;0;1;0;2236;6;"Graduation";"Single";"25-34";"Middle Income";74
151;57;66313;0;0;0;0;1;0;0;1;0;0;0;1;2445;6;"PhD";"Together";"55-65";"Upper Middle";81
152;37;25271;0;0;1;0;0;0;1;0;0;0;1;0;2730;7;"Graduation";"Married";"35-44";"Low Income";91
153;38;28718;0;0;1;0;0;0;1;0;0;0;1;0;2510;6;"Graduation";"Married";"35-44";"Low Income";83
154;36;23976;0;0;1;0;0;0;0;1;0;0;1;0;2343;6;"Graduation";"Together";"35-44";"Low Income";78
155;64;60714;0;0;1;0;0;1;0;0;0;0;0;0;2687;7;"Graduation";"Single";"55-65";"Upper Middle";89
156;59;80950;0;0;0;1;0;0;1;0;0;0;0;0;2617;7;"Masters";"Married";"55-65";"Upper Middle";87
157;50;50447;0;0;1;0;0;0;1;0;0;0;2;0;2228;6;"Graduation";"Married";"45-54";"Middle Income";74
158;50;32303;0;0;0;0;1;1;0;0;0;0;0;1;2272;6;"PhD";"Single";"45-54";"Middle Income";75
159;39;77882;0;0;0;1;0;0;0;1;0;0;0;0;2219;6;"Masters";"Together";"35-44";"Upper Middle";73
160;45;66653;0;0;1;0;0;0;0;1;0;0;1;1;2819;7;"Graduation";"Together";"35-44";"Upper Middle";93
161;77;48948;0;0;0;0;1;0;0;0;1;0;0;0;2672;7;"PhD";"Divorced";"65+";"Middle Income";89
162;55;84618;0;0;0;0;1;0;1;0;0;0;0;0;2378;6;"PhD";"Married";"45-54";"Upper Middle";79
163;54;27038;0;0;1;0;0;0;0;0;0;1;0;0;2808;7;"Graduation";"Widow";"45-54";"Low Income";93
164;36;26646;0;0;1;0;0;0;0;1;0;0;1;0;2298;6;"Graduation";"Together";"35-44";"Low Income";76
165;61;53537;0;0;0;0;1;0;0;1;0;0;1;1;2309;6;"PhD";"Together";"55-65";"Middle Income";76
166;42;42011;0;0;1;0;0;0;0;1;0;0;1;0;2619;7;"Graduation";"Together";"35-44";"Middle Income";87
167;40;80011;0;0;1;0;0;0;1;0;0;0;0;1;2585;7;"Graduation";"Married";"35-44";"Upper Middle";86
168;67;59354;0;0;0;1;0;0;1;0;0;0;0;2;2225;6;"Masters";"Married";"65+";"Middle Income";74
169;68;61823;0;0;1;0;0;1;0;0;0;0;0;1;2655;7;"Graduation";"Single";"65+";"Upper Middle";88
170;39;58293;0;0;0;0;1;0;1;0;0;0;1;0;2320;6;"PhD";"Married";"35-44";"Middle Income";77
171;69;67680;0;0;0;0;1;0;0;0;0;1;0;1;2542;6;"PhD";"Widow";"65+";"Upper Middle";84
172;54;61286;0;0;1;0;0;0;1;0;0;0;0;1;2490;6;"Graduation";"Married";"45-54";"Upper Middle";83
173;34;69867;0;0;0;0;1;1;0;0;0;0;0;0;2612;7;"PhD";"Single";"25-34";"Upper Middle";87
174;49;38590;0;0;1;0;0;0;0;1;0;0;1;0;2569;7;"Graduation";"Together";"45-54";"Middle Income";85
175;60;89058;0;0;0;1;0;0;1;0;0;0;0;0;2728;7;"Masters";"Married";"55-65";"Upper Middle";90
176;73;77457;0;0;1;0;0;1;0;0;0;0;0;0;2275;6;"Graduation";"Single";"65+";"Upper Middle";75
177;48;80134;0;0;1;0;0;0;1;0;0;0;1;0;2564;7;"Graduation";"Married";"45-54";"Upper Middle";85
178;42;60199;0;0;1;0;0;1;0;0;0;0;1;2;2449;6;"Graduation";"Single";"35-44";"Upper Middle";81
179;44;51369;0;0;1;0;0;0;0;1;0;0;0;1;2771;7;"Graduation";"Together";"35-44";"Middle Income";92
180;44;74068;0;0;1;0;0;0;1;0;0;0;0;0;2626;7;"Graduation";"Married";"35-44";"Upper Middle";87
181;52;63841;0;0;0;1;0;0;0;0;1;0;0;1;2593;7;"Masters";"Divorced";"45-54";"Upper Middle";86
182;53;62513;0;0;0;1;0;0;0;1;0;0;0;1;2452;6;"Masters";"Together";"45-54";"Upper Middle";81
183;50;90765;0;0;1;0;0;0;1;0;0;0;0;0;2315;6;"Graduation";"Married";"45-54";"High Income";77
184;31;10979;0;0;0;1;0;0;0;0;1;0;0;0;2197;6;"Masters";"Divorced";"25-34";"Low Income";73
185;51;65747;0;0;1;0;0;0;1;0;0;0;0;1;2273;6;"Graduation";"Married";"45-54";"Upper Middle";75
186;56;64100;0;0;0;1;0;0;1;0;0;0;0;1;2451;6;"Masters";"Married";"55-65";"Upper Middle";81
187;67;75027;0;0;1;0;0;0;1;0;0;0;0;1;2695;7;"Graduation";"Married";"65+";"Upper Middle";89
188;49;55635;0;0;1;0;0;0;0;0;1;0;0;1;2752;7;"Graduation";"Divorced";"45-54";"Middle Income";91
189;57;38620;0;0;0;1;0;0;0;1;0;0;0;0;2573;7;"Masters";"Together";"55-65";"Middle Income";85
190;35;20559;0;0;0;1;0;0;1;0;0;0;1;0;2633;7;"Masters";"Married";"25-34";"Low Income";87
191;72;70666;0;0;1;0;0;0;0;1;0;0;0;0;2364;6;"Graduation";"Together";"65+";"Upper Middle";78
192;35;33454;0;0;0;0;1;0;1;0;0;0;1;0;2576;7;"PhD";"Married";"25-34";"Middle Income";85
193;50;40548;0;0;1;0;0;0;0;1;0;0;0;1;2786;7;"Graduation";"Together";"45-54";"Middle Income";92
194;69;15033;0;0;1;0;0;1;0;0;0;0;0;0;2233;6;"Graduation";"Single";"65+";"Low Income";74
195;56;45759;0;0;0;0;1;0;1;0;0;0;1;1;2650;7;"PhD";"Married";"55-65";"Middle Income";88
196;46;30351;0;0;0;0;1;0;0;1;0;0;1;0;2547;6;"PhD";"Together";"45-54";"Middle Income";84
197;43;55375;0;0;1;0;0;0;0;1;0;0;0;1;2414;6;"Graduation";"Together";"35-44";"Middle Income";80
198;39;24480;1;0;0;0;0;0;1;0;0;0;1;0;2662;7;"Basic";"Married";"35-44";"Low Income";88
199;49;25721;0;0;1;0;0;0;1;0;0;0;1;0;2563;7;"Graduation";"Married";"45-54";"Low Income";85
200;41;77298;0;0;1;0;0;0;0;1;0;0;0;1;2398;6;"Graduation";"Together";"35-44";"Upper Middle";79
201;68;46610;0;0;0;0;1;0;0;0;1;0;0;2;2767;7;"PhD";"Divorced";"65+";"Middle Income";92
202;42;36550;0;1;0;0;0;0;1;0;0;0;1;0;2654;7;"2n_Cycle";"Married";"35-44";"Middle Income";88
203;70;5648;0;0;0;0;1;0;0;1;0;0;1;1;2267;6;"PhD";"Together";"65+";"Very Low Income";75
204;68;51537;0;0;1;0;0;0;0;0;1;0;0;1;2726;7;"Graduation";"Divorced";"65+";"Middle Income";90
205;53;32474;0;0;1;0;0;0;0;1;0;0;1;1;2208;6;"Graduation";"Together";"45-54";"Middle Income";73
206;55;62745;0;0;0;0;1;0;1;0;0;0;0;1;2622;7;"PhD";"Married";"45-54";"Upper Middle";87
207;28;42670;0;0;0;1;0;0;0;1;0;0;0;0;2587;7;"Masters";"Together";"25-34";"Middle Income";86
208;32;67546;0;0;0;0;1;0;1;0;0;0;0;0;2826;7;"PhD";"Married";"25-34";"Upper Middle";94
209;48;46344;0;1;0;0;0;0;0;1;0;0;0;1;2721;7;"2n_Cycle";"Together";"45-54";"Middle Income";90
210;65;80317;0;0;1;0;0;1;0;0;0;0;0;0;2472;6;"Graduation";"Single";"55-65";"Upper Middle";82
211;71;35416;0;0;0;1;0;0;0;0;1;0;0;0;2540;6;"Masters";"Divorced";"65+";"Middle Income";84
212;29;68126;0;0;0;0;1;1;0;0;0;0;0;0;2755;7;"PhD";"Single";"25-34";"Upper Middle";91
213;49;64795;0;0;1;0;0;0;1;0;0;0;0;1;2687;7;"Graduation";"Married";"45-54";"Upper Middle";89
214;62;30523;0;0;0;1;0;1;0;0;0;0;2;1;2522;6;"Masters";"Single";"55-65";"Middle Income";84
215;36;32414;0;1;0;0;0;0;0;1;0;0;0;0;2519;6;"2n_Cycle";"Together";"35-44";"Middle Income";83
216;42;24882;1;0;0;0;0;0;0;1;0;0;1;0;2817;7;"Basic";"Together";"35-44";"Low Income";93
217;68;82623;0;0;1;0;0;0;0;0;1;0;0;0;2390;6;"Graduation";"Divorced";"65+";"Upper Middle";79
218;48;79930;0;0;0;0;1;0;1;0;0;0;0;0;2849;7;"PhD";"Married";"45-54";"Upper Middle";94
219;51;38361;0;0;1;0;0;0;0;1;0;0;1;0;2343;6;"Graduation";"Together";"45-54";"Middle Income";78
220;44;12571;0;0;1;0;0;0;0;0;1;0;1;0;2321;6;"Graduation";"Divorced";"35-44";"Low Income";77
221;45;22212;0;1;0;0;0;0;1;0;0;0;1;0;2361;6;"2n_Cycle";"Married";"35-44";"Low Income";78
222;46;34421;0;0;1;0;0;0;1;0;0;0;1;0;2522;6;"Graduation";"Married";"45-54";"Middle Income";84
223;53;52074;0;0;1;0;0;1;0;0;0;0;0;1;2245;6;"Graduation";"Single";"45-54";"Middle Income";74
224;32;34176;0;0;1;0;0;1;0;0;0;0;1;0;2207;6;"Graduation";"Single";"25-34";"Middle Income";73
225;55;44300;0;0;1;0;0;0;1;0;0;0;1;1;2530;6;"Graduation";"Married";"45-54";"Middle Income";84
226;75;70356;0;0;0;0;1;0;1;0;0;0;0;0;2760;7;"PhD";"Married";"65+";"Upper Middle";92
227;55;47025;0;0;0;0;1;0;0;0;1;0;1;1;2299;6;"PhD";"Divorced";"45-54";"Middle Income";76
