Country,Year,Series,Value
Northern Africa,1995,GDP per capita (US dollars),1281.00
Northern Africa,2005,GDP per capita (US dollars),1922.00
Northern Africa,2010,GDP per capita (US dollars),3127.00
Northern Africa,2015,GDP per capita (US dollars),3390.00
Northern Africa,2020,GDP per capita (US dollars),3039.00
Northern Africa,2021,GDP per capita (US dollars),3339.00
Northern Africa,2022,GDP per capita (US dollars),3298.00
Northern Africa,1995,GDP in constant 2015 prices (millions of US dollars),354910.00
Northern Africa,2005,GDP in constant 2015 prices (millions of US dollars),557673.00
Northern Africa,2010,GDP in constant 2015 prices (millions of US dollars),700055.00
Northern Africa,2015,GDP in constant 2015 prices (millions of US dollars),772568.00
Northern Africa,2020,GDP in constant 2015 prices (millions of US dollars),869168.00
Northern Africa,2021,GDP in constant 2015 prices (millions of US dollars),932388.00
Northern Africa,2022,GDP in constant 2015 prices (millions of US dollars),959918.00
Northern Africa,1995,GDP real rates of growth (percent),2.00
Northern Africa,2005,GDP real rates of growth (percent),6.00
Northern Africa,2010,GDP real rates of growth (percent),5.00
Northern Africa,2015,GDP real rates of growth (percent),3.70
Northern Africa,2020,GDP real rates of growth (percent),-3.30
Northern Africa,2021,GDP real rates of growth (percent),7.30
Northern Africa,2022,GDP real rates of growth (percent),3.00
Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),397273.00
Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),794578.00
Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),1386785.00
Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),1637080.00
Sub-Saharan Africa,2020,GDP in current prices (millions of US dollars),1685236.00
Sub-Saharan Africa,2021,GDP in current prices (millions of US dollars),1882153.00
Sub-Saharan Africa,2022,GDP in current prices (millions of US dollars),2015177.00
Sub-Saharan Africa,1995,GDP per capita (US dollars),708.00
Sub-Saharan Africa,2005,GDP per capita (US dollars),1088.00
Sub-Saharan Africa,2010,GDP per capita (US dollars),1637.00
Sub-Saharan Africa,2015,GDP per capita (US dollars),1685.00
Sub-Saharan Africa,2020,GDP per capita (US dollars),1521.00
Sub-Saharan Africa,2021,GDP per capita (US dollars),1656.00
Sub-Saharan Africa,2022,GDP per capita (US dollars),1729.00
Sub-Saharan Africa,1995,GDP in constant 2015 prices (millions of US dollars),629707.00
Sub-Saharan Africa,2005,GDP in constant 2015 prices (millions of US dollars),976386.00
Sub-Saharan Africa,2010,GDP in constant 2015 prices (millions of US dollars),1295740.00
Sub-Saharan Africa,2015,GDP in constant 2015 prices (millions of US dollars),1637080.00
Sub-Saharan Africa,2020,GDP in constant 2015 prices (millions of US dollars),1766545.00
Sub-Saharan Africa,2021,GDP in constant 2015 prices (millions of US dollars),1845341.00
Sub-Saharan Africa,2022,GDP in constant 2015 prices (millions of US dollars),1915966.00
Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.30
Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.30
Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.40
Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.30
Sub-Saharan Africa,2020,GDP real rates of growth (percent),-1.90
Sub-Saharan Africa,2021,GDP real rates of growth (percent),4.50
Sub-Saharan Africa,2022,GDP real rates of growth (percent),3.80
Eastern Africa,1995,GDP in current prices (millions of US dollars),71188.00
Eastern Africa,2005,GDP in current prices (millions of US dollars),117409.00
Eastern Africa,2010,GDP in current prices (millions of US dollars),235948.00
Eastern Africa,2015,GDP in current prices (millions of US dollars),330690.00
Eastern Africa,2020,GDP in current prices (millions of US dollars),425948.00
Eastern Africa,2021,GDP in current prices (millions of US dollars),460290.00
Eastern Africa,2022,GDP in current prices (millions of US dollars),512915.00
Eastern Africa,1995,GDP per capita (US dollars),326.00
Eastern Africa,2005,GDP per capita (US dollars),407.00
Eastern Africa,2010,GDP per capita (US dollars),691.00
Eastern Africa,2015,GDP per capita (US dollars),843.00
Eastern Africa,2020,GDP per capita (US dollars),951.00
Eastern Africa,2021,GDP per capita (US dollars),1001.00
Eastern Africa,2022,GDP per capita (US dollars),1087.00
Eastern Africa,1995,GDP in constant 2015 prices (millions of US dollars),110361.00
Eastern Africa,2005,GDP in constant 2015 prices (millions of US dollars),165872.00
Eastern Africa,2010,GDP in constant 2015 prices (millions of US dollars),244330.00
Eastern Africa,2015,GDP in constant 2015 prices (millions of US dollars),330690.00
Eastern Africa,2020,GDP in constant 2015 prices (millions of US dollars),410573.00
Eastern Africa,2021,GDP in constant 2015 prices (millions of US dollars),433454.00
Eastern Africa,2022,GDP in constant 2015 prices (millions of US dollars),455154.00
Eastern Africa,1995,GDP real rates of growth (percent),4.40
Eastern Africa,2005,GDP real rates of growth (percent),6.40
Eastern Africa,2010,GDP real rates of growth (percent),9.40
Eastern Africa,2015,GDP real rates of growth (percent),6.20
Eastern Africa,2020,GDP real rates of growth (percent),0.40
Eastern Africa,2021,GDP real rates of growth (percent),5.60
Eastern Africa,2022,GDP real rates of growth (percent),5.00
Middle Africa,1995,GDP in current prices (millions of US dollars),37554.00
Middle Africa,2005,GDP in current prices (millions of US dollars),101403.00
Middle Africa,2010,GDP in current prices (millions of US dollars),191153.00
Middle Africa,2015,GDP in current prices (millions of US dollars),242684.00
Middle Africa,2020,GDP in current prices (millions of US dollars),195536.00
Middle Africa,2021,GDP in current prices (millions of US dollars),234765.00
Middle Africa,2022,GDP in current prices (millions of US dollars),287184.00
Middle Africa,1995,GDP per capita (US dollars),441.00
Middle Africa,2005,GDP per capita (US dollars),892.00
Middle Africa,2010,GDP per capita (US dollars),1431.00
Middle Africa,2015,GDP per capita (US dollars),1542.00
Middle Africa,2020,GDP per capita (US dollars),1059.00
Middle Africa,2021,GDP per capita (US dollars),1234.00
Middle Africa,2022,GDP per capita (US dollars),1465.00
Middle Africa,1995,GDP in constant 2015 prices (millions of US dollars),85635.00
Middle Africa,2005,GDP in constant 2015 prices (millions of US dollars),140505.00
Middle Africa,2010,GDP in constant 2015 prices (millions of US dollars),192186.00
Middle Africa,2015,GDP in constant 2015 prices (millions of US dollars),242684.00
Middle Africa,2020,GDP in constant 2015 prices (millions of US dollars),239188.00
Middle Africa,2021,GDP in constant 2015 prices (millions of US dollars),244752.00
Middle Africa,2022,GDP in constant 2015 prices (millions of US dollars),254834.00
Middle Africa,1995,GDP real rates of growth (percent),6.70
Middle Africa,2005,GDP real rates of growth (percent),9.20
Middle Africa,2010,GDP real rates of growth (percent),4.80
Middle Africa,2015,GDP real rates of growth (percent),2.20
Middle Africa,2020,GDP real rates of growth (percent),-2.90
Middle Africa,2021,GDP real rates of growth (percent),2.30
Middle Africa,2022,GDP real rates of growth (percent),4.10
Southern Africa,1995,GDP in current prices (millions of US dollars),183240.00
Southern Africa,2005,GDP in current prices (millions of US dollars),310532.00
Southern Africa,2010,GDP in current prices (millions of US dollars),448120.00
Southern Africa,2015,GDP in current prices (millions of US dollars),377771.00
Southern Africa,2020,GDP in current prices (millions of US dollars),369839.00
Southern Africa,2021,GDP in current prices (millions of US dollars),458451.00
Southern Africa,2022,GDP in current prices (millions of US dollars),444845.00
Southern Africa,1995,GDP per capita (US dollars),3663.00
Southern Africa,2005,GDP per capita (US dollars),5553.00
Southern Africa,2010,GDP per capita (US dollars),7583.00
Southern Africa,2015,GDP per capita (US dollars),5929.00
Southern Africa,2020,GDP per capita (US dollars),5498.00
Southern Africa,2021,GDP per capita (US dollars),6743.00
Southern Africa,2022,GDP per capita (US dollars),6485.00
Southern Africa,1995,GDP in constant 2015 prices (millions of US dollars),207820.00
Southern Africa,2005,GDP in constant 2015 prices (millions of US dollars),289208.00
Southern Africa,2010,GDP in constant 2015 prices (millions of US dollars),337096.00
Southern Africa,2015,GDP in constant 2015 prices (millions of US dollars),377771.00
Southern Africa,2020,GDP in constant 2015 prices (millions of US dollars),369421.00
Southern Africa,2021,GDP in constant 2015 prices (millions of US dollars),387810.00
Southern Africa,2022,GDP in constant 2015 prices (millions of US dollars),395964.00
Southern Africa,1995,GDP real rates of growth (percent),3.30
Southern Africa,2005,GDP real rates of growth (percent),5.20
Southern Africa,2010,GDP real rates of growth (percent),3.40
Southern Africa,2015,GDP real rates of growth (percent),1.20
Southern Africa,2020,GDP real rates of growth (percent),-6.10
Southern Africa,2021,GDP real rates of growth (percent),5.00
Southern Africa,2022,GDP real rates of growth (percent),2.10
Western Africa,1995,GDP in current prices (millions of US dollars),105290.00
Western Africa,2005,GDP in current prices (millions of US dollars),265234.00
Western Africa,2010,GDP in current prices (millions of US dollars),511565.00
Western Africa,2015,GDP in current prices (millions of US dollars),685936.00
Western Africa,2020,GDP in current prices (millions of US dollars),693913.00
Western Africa,2021,GDP in current prices (millions of US dollars),728646.00
Western Africa,2022,GDP in current prices (millions of US dollars),770232.00
Western Africa,1995,GDP per capita (US dollars),506.00
Western Africa,2005,GDP per capita (US dollars),974.00
Western Africa,2010,GDP per capita (US dollars),1636.00
Western Africa,2015,GDP per capita (US dollars),1915.00
Western Africa,2020,GDP per capita (US dollars),1700.00
Western Africa,2021,GDP per capita (US dollars),1741.00
Western Africa,2022,GDP per capita (US dollars),1795.00
Western Africa,1995,GDP in constant 2015 prices (millions of US dollars),225893.00
Western Africa,2005,GDP in constant 2015 prices (millions of US dollars),380802.00
Western Africa,2010,GDP in constant 2015 prices (millions of US dollars),522128.00
Western Africa,2015,GDP in constant 2015 prices (millions of US dollars),685936.00
Western Africa,2020,GDP in constant 2015 prices (millions of US dollars),747364.00
Western Africa,2021,GDP in constant 2015 prices (millions of US dollars),779325.00
Western Africa,2022,GDP in constant 2015 prices (millions of US dollars),810013.00
Western Africa,1995,GDP real rates of growth (percent),1.50
Western Africa,2005,GDP real rates of growth (percent),6.00
Western Africa,2010,GDP real rates of growth (percent),7.60
Western Africa,2015,GDP real rates of growth (percent),3.50
Western Africa,2020,GDP real rates of growth (percent),-0.60
Western Africa,2021,GDP real rates of growth (percent),4.30
Western Africa,2022,GDP real rates of growth (percent),3.90
Americas,1995,GDP in current prices (millions of US dollars),10242888.00
Americas,2005,GDP in current prices (millions of US dollars),17124347.00
Americas,2010,GDP in current prices (millions of US dollars),22077292.00
Americas,2015,GDP in current prices (millions of US dollars),25414810.00
Americas,2020,GDP in current prices (millions of US dollars),27666347.00
Americas,2021,GDP in current prices (millions of US dollars),31004182.00
Americas,2022,GDP in current prices (millions of US dollars),34020481.00
Americas,1995,GDP per capita (US dollars),13176.00
Americas,2005,GDP per capita (US dollars),19328.00
Americas,2010,GDP per capita (US dollars),23622.00
Americas,2015,GDP per capita (US dollars),25872.00
Americas,2020,GDP per capita (US dollars),27003.00
Americas,2021,GDP per capita (US dollars),30097.00
Americas,2022,GDP per capita (US dollars),32842.00
Americas,1995,GDP in constant 2015 prices (millions of US dollars),15249801.00
Americas,2005,GDP in constant 2015 prices (millions of US dollars),21080187.00
Americas,2010,GDP in constant 2015 prices (millions of US dollars),22747677.00
Americas,2015,GDP in constant 2015 prices (millions of US dollars),25414810.00
Americas,2020,GDP in constant 2015 prices (millions of US dollars),26454540.00
Americas,2021,GDP in constant 2015 prices (millions of US dollars),28033939.00
Americas,2022,GDP in constant 2015 prices (millions of US dollars),28714113.00
Americas,1995,GDP real rates of growth (percent),2.30
Americas,2005,GDP real rates of growth (percent),3.60
Americas,2010,GDP real rates of growth (percent),3.40
Americas,2015,GDP real rates of growth (percent),2.10
Americas,2020,GDP real rates of growth (percent),-3.40
Americas,2021,GDP real rates of growth (percent),6.00
Americas,2022,GDP real rates of growth (percent),2.40
Northern America,1995,GDP in current prices (millions of US dollars),8249570.00
Northern America,2005,GDP in current prices (millions of US dollars),14219073.00
Northern America,2010,GDP in current prices (millions of US dollars),16675376.00
Northern America,2015,GDP in current prices (millions of US dollars),19860284.00
Northern America,2020,GDP in current prices (millions of US dollars),22980568.00
Northern America,2021,GDP in current prices (millions of US dollars),25606009.00
Northern America,2022,GDP in current prices (millions of US dollars),27892511.00
Northern America,1995,GDP per capita (US dollars),27958.00
Northern America,2005,GDP per capita (US dollars),43196.00
Northern America,2010,GDP per capita (US dollars),48297.00
Northern America,2015,GDP per capita (US dollars),55097.00
Northern America,2020,GDP per capita (US dollars),61453.00
Northern America,2021,GDP per capita (US dollars),68233.00
Northern America,2022,GDP per capita (US dollars),74012.00
Northern America,1995,GDP in constant 2015 prices (millions of US dollars),12070353.00
Northern America,2005,GDP in constant 2015 prices (millions of US dollars),16891978.00
Northern America,2010,GDP in constant 2015 prices (millions of US dollars),17751958.00
Northern America,2015,GDP in constant 2015 prices (millions of US dollars),19860284.00
Northern America,2020,GDP in constant 2015 prices (millions of US dollars),21309921.00
Northern America,2021,GDP in constant 2015 prices (millions of US dollars),22533082.00
Northern America,2022,GDP in constant 2015 prices (millions of US dollars),22994457.00
Northern America,1995,GDP real rates of growth (percent),2.70
Northern America,2005,GDP real rates of growth (percent),3.50
Northern America,2010,GDP real rates of growth (percent),2.70
Northern America,2015,GDP real rates of growth (percent),2.80
Northern America,2020,GDP real rates of growth (percent),-2.40
Northern America,2021,GDP real rates of growth (percent),5.70
Northern America,2022,GDP real rates of growth (percent),2.00
Latin America & the Caribbean,1995,GDP in current prices (millions of US dollars),1993319.00
Latin America & the Caribbean,2005,GDP in current prices (millions of US dollars),2905274.00
Latin America & the Caribbean,2010,GDP in current prices (millions of US dollars),5401916.00
Latin America & the Caribbean,2015,GDP in current prices (millions of US dollars),5554527.00
Latin America & the Caribbean,2020,GDP in current prices (millions of US dollars),4685778.00
Latin America & the Caribbean,2021,GDP in current prices (millions of US dollars),5398173.00
Latin America & the Caribbean,2022,GDP in current prices (millions of US dollars),6127970.00
Latin America & the Caribbean,1995,GDP per capita (US dollars),4133.00
Latin America & the Caribbean,2005,GDP per capita (US dollars),5218.00
Latin America & the Caribbean,2010,GDP per capita (US dollars),9166.00
Latin America & the Caribbean,2015,GDP per capita (US dollars),8932.00
Latin America & the Caribbean,2020,GDP per capita (US dollars),7202.00
Latin America & the Caribbean,2021,GDP per capita (US dollars),8243.00
Latin America & the Caribbean,2022,GDP per capita (US dollars),9298.00
Latin America & the Caribbean,1995,GDP in constant 2015 prices (millions of US dollars),3179449.00
Latin America & the Caribbean,2005,GDP in constant 2015 prices (millions of US dollars),4188209.00
Latin America & the Caribbean,2010,GDP in constant 2015 prices (millions of US dollars),4995719.00
Latin America & the Caribbean,2015,GDP in constant 2015 prices (millions of US dollars),5554527.00
Latin America & the Caribbean,2020,GDP in constant 2015 prices (millions of US dollars),5144619.00
Latin America & the Caribbean,2021,GDP in constant 2015 prices (millions of US dollars),5500857.00
Latin America & the Caribbean,2022,GDP in constant 2015 prices (millions of US dollars),5719657.00
Latin America & the Caribbean,1995,GDP real rates of growth (percent),1.10
Latin America & the Caribbean,2005,GDP real rates of growth (percent),4.40
Latin America & the Caribbean,2010,GDP real rates of growth (percent),5.80
Latin America & the Caribbean,2015,GDP real rates of growth (percent),0.00
Latin America & the Caribbean,2020,GDP real rates of growth (percent),-7.20
Latin America & the Caribbean,2021,GDP real rates of growth (percent),6.90
Latin America & the Caribbean,2022,GDP real rates of growth (percent),4.00
Caribbean,1995,GDP in current prices (millions of US dollars),121859.00
Caribbean,2005,GDP in current prices (millions of US dollars),226610.00
Caribbean,2010,GDP in current prices (millions of US dollars),297212.00
Caribbean,2015,GDP in current prices (millions of US dollars),354748.00
Caribbean,2020,GDP in current prices (millions of US dollars),375791.00
Caribbean,2021,GDP in current prices (millions of US dollars),424831.00
Caribbean,2022,GDP in current prices (millions of US dollars),483941.00
Caribbean,1995,GDP per capita (US dollars),3442.00
Caribbean,2005,GDP per capita (US dollars),5817.00
Caribbean,2010,GDP per capita (US dollars),7350.00
Caribbean,2015,GDP per capita (US dollars),8486.00
Caribbean,2020,GDP per capita (US dollars),8734.00
Caribbean,2021,GDP per capita (US dollars),9823.00
Caribbean,2022,GDP per capita (US dollars),11135.00
Caribbean,1995,GDP in constant 2015 prices (millions of US dollars),202807.00
Caribbean,2005,GDP in constant 2015 prices (millions of US dollars),294658.00
Caribbean,2010,GDP in constant 2015 prices (millions of US dollars),325063.00
Caribbean,2015,GDP in constant 2015 prices (millions of US dollars),354748.00
Caribbean,2020,GDP in constant 2015 prices (millions of US dollars),339192.00
Caribbean,2021,GDP in constant 2015 prices (millions of US dollars),354039.00
Caribbean,2022,GDP in constant 2015 prices (millions of US dollars),367262.00
Caribbean,1995,GDP real rates of growth (percent),4.20
Caribbean,2005,GDP real rates of growth (percent),3.60
Caribbean,2010,GDP real rates of growth (percent),1.70
Caribbean,2015,GDP real rates of growth (percent),2.30
Caribbean,2020,GDP real rates of growth (percent),-8.40
Caribbean,2021,GDP real rates of growth (percent),4.40
Caribbean,2022,GDP real rates of growth (percent),3.70
Central America,1995,GDP in current prices (millions of US dollars),432357.00
Central America,2005,GDP in current prices (millions of US dollars),1012333.00
Central America,2010,GDP in current prices (millions of US dollars),1258279.00
Central America,2015,GDP in current prices (millions of US dollars),1446809.00
Central America,2020,GDP in current prices (millions of US dollars),1381514.00
Central America,2021,GDP in current prices (millions of US dollars),1605656.00
Central America,2022,GDP in current prices (millions of US dollars),1785939.00
Central America,1995,GDP per capita (US dollars),3512.00
Central America,2005,GDP per capita (US dollars),6956.00
Central America,2010,GDP per capita (US dollars),8063.00
Central America,2015,GDP per capita (US dollars),8654.00
Central America,2020,GDP per capita (US dollars),7834.00
Central America,2021,GDP per capita (US dollars),9038.00
Central America,2022,GDP per capita (US dollars),9974.00
Central America,1995,GDP in constant 2015 prices (millions of US dollars),828947.00
Central America,2005,GDP in constant 2015 prices (millions of US dollars),1154309.00
Central America,2010,GDP in constant 2015 prices (millions of US dollars),1252684.00
Central America,2015,GDP in constant 2015 prices (millions of US dollars),1446809.00
Central America,2020,GDP in constant 2015 prices (millions of US dollars),1415834.00
Central America,2021,GDP in constant 2015 prices (millions of US dollars),1509084.00
Central America,2022,GDP in constant 2015 prices (millions of US dollars),1573131.00
Central America,1995,GDP real rates of growth (percent),-4.70
Central America,2005,GDP real rates of growth (percent),2.40
Central America,2010,GDP real rates of growth (percent),4.90
Central America,2015,GDP real rates of growth (percent),3.00
Central America,2020,GDP real rates of growth (percent),-8.50
Central America,2021,GDP real rates of growth (percent),6.60
Central America,2022,GDP real rates of growth (percent),4.20
South America,1995,GDP in current prices (millions of US dollars),1439103.00
South America,2005,GDP in current prices (millions of US dollars),1666331.00
South America,2010,GDP in current prices (millions of US dollars),3846426.00
South America,2015,GDP in current prices (millions of US dollars),3752970.00
South America,2020,GDP in current prices (millions of US dollars),2928474.00
South America,2021,GDP in current prices (millions of US dollars),3367686.00
South America,2022,GDP in current prices (millions of US dollars),3858090.00
South America,1995,GDP per capita (US dollars),4444.00
South America,2005,GDP per capita (US dollars),4476.00
South America,2010,GDP per capita (US dollars),9791.00
South America,2015,GDP per capita (US dollars),9090.00
South America,2020,GDP per capita (US dollars),6791.00
South America,2021,GDP per capita (US dollars),7760.00
South America,2022,GDP per capita (US dollars),8839.00
South America,1995,GDP in constant 2015 prices (millions of US dollars),2147695.00
South America,2005,GDP in constant 2015 prices (millions of US dollars),2739242.00
South America,2010,GDP in constant 2015 prices (millions of US dollars),3417973.00
South America,2015,GDP in constant 2015 prices (millions of US dollars),3752970.00
South America,2020,GDP in constant 2015 prices (millions of US dollars),3389594.00
South America,2021,GDP in constant 2015 prices (millions of US dollars),3637734.00
South America,2022,GDP in constant 2015 prices (millions of US dollars),3779263.00
South America,1995,GDP real rates of growth (percent),3.20
South America,2005,GDP real rates of growth (percent),5.40
South America,2010,GDP real rates of growth (percent),6.60
South America,2015,GDP real rates of growth (percent),-1.30
South America,2020,GDP real rates of growth (percent),-6.60
South America,2021,GDP real rates of growth (percent),7.30
South America,2022,GDP real rates of growth (percent),3.90
Asia,1995,GDP in current prices (millions of US dollars),9324655.00
Asia,2005,GDP in current prices (millions of US dollars),12487279.00
Asia,2010,GDP in current prices (millions of US dollars),21143028.00
Asia,2015,GDP in current prices (millions of US dollars),26966511.00
Asia,2020,GDP in current prices (millions of US dollars),32632452.00
Asia,2021,GDP in current prices (millions of US dollars),37500174.00
Asia,2022,GDP in current prices (millions of US dollars),38004625.00
Asia,1995,GDP per capita (US dollars),2677.00
Asia,2005,GDP per capita (US dollars),3138.00
Asia,2010,GDP per capita (US dollars),5010.00
Asia,2015,GDP per capita (US dollars),6048.00
Asia,2020,GDP per capita (US dollars),6997.00
Asia,2021,GDP per capita (US dollars),7989.00
Asia,2022,GDP per capita (US dollars),8049.00
Asia,1995,GDP in constant 2015 prices (millions of US dollars),10036707.00
Asia,2005,GDP in constant 2015 prices (millions of US dollars),15697678.00
Asia,2010,GDP in constant 2015 prices (millions of US dollars),20870686.00
Asia,2015,GDP in constant 2015 prices (millions of US dollars),26966511.00
Asia,2020,GDP in constant 2015 prices (millions of US dollars),32005321.00
Asia,2021,GDP in constant 2015 prices (millions of US dollars),34117438.00
Asia,2022,GDP in constant 2015 prices (millions of US dollars),35357380.00
Asia,1995,GDP real rates of growth (percent),5.50
Asia,2005,GDP real rates of growth (percent),6.30
Asia,2010,GDP real rates of growth (percent),7.80
Asia,2015,GDP real rates of growth (percent),5.00
Asia,2020,GDP real rates of growth (percent),-0.90
Asia,2021,GDP real rates of growth (percent),6.60
Asia,2022,GDP real rates of growth (percent),3.60
Central Asia,1995,GDP in current prices (millions of US dollars),41632.00
Central Asia,2005,GDP in current prices (millions of US dollars),93155.00
Central Asia,2010,GDP in current prices (millions of US dollars),231077.00
Central Asia,2015,GDP in current prices (millions of US dollars),321586.00
Central Asia,2020,GDP in current prices (millions of US dollars),293363.00
Central Asia,2021,GDP in current prices (millions of US dollars),340224.00
Central Asia,2022,GDP in current prices (millions of US dollars),394320.00
Central Asia,1995,GDP per capita (US dollars),768.00
Central Asia,2005,GDP per capita (US dollars),1573.00
Central Asia,2010,GDP per capita (US dollars),3632.00
Central Asia,2015,GDP per capita (US dollars),4661.00
Central Asia,2020,GDP per capita (US dollars),3926.00
Central Asia,2021,GDP per capita (US dollars),4483.00
Central Asia,2022,GDP per capita (US dollars),5118.00
Central Asia,1995,GDP in constant 2015 prices (millions of US dollars),97467.00
Central Asia,2005,GDP in constant 2015 prices (millions of US dollars),169983.00
Central Asia,2010,GDP in constant 2015 prices (millions of US dollars),245266.00
Central Asia,2015,GDP in constant 2015 prices (millions of US dollars),321586.00
Central Asia,2020,GDP in constant 2015 prices (millions of US dollars),374436.00
Central Asia,2021,GDP in constant 2015 prices (millions of US dollars),394728.00
Central Asia,2022,GDP in constant 2015 prices (millions of US dollars),410564.00
Central Asia,1995,GDP real rates of growth (percent),-6.50
Central Asia,2005,GDP real rates of growth (percent),9.00
Central Asia,2010,GDP real rates of growth (percent),8.70
Central Asia,2015,GDP real rates of growth (percent),3.10
Central Asia,2020,GDP real rates of growth (percent),-1.20
Central Asia,2021,GDP real rates of growth (percent),5.40
Central Asia,2022,GDP real rates of growth (percent),4.00
Eastern Asia,1995,GDP in current prices (millions of US dollars),7283959.00
Eastern Asia,2005,GDP in current prices (millions of US dollars),8636076.00
Eastern Asia,2010,GDP in current prices (millions of US dollars),13712623.00
Eastern Asia,2015,GDP in current prices (millions of US dollars),17889125.00
Eastern Asia,2020,GDP in current prices (millions of US dollars),22453469.00
Eastern Asia,2021,GDP in current prices (millions of US dollars),25852085.00
Eastern Asia,2022,GDP in current prices (millions of US dollars),25047265.00
Eastern Asia,1995,GDP per capita (US dollars),5054.00
Eastern Asia,2005,GDP per capita (US dollars),5618.00
Eastern Asia,2010,GDP per capita (US dollars),8663.00
Eastern Asia,2015,GDP per capita (US dollars),10966.00
Eastern Asia,2020,GDP per capita (US dollars),13503.00
Eastern Asia,2021,GDP per capita (US dollars),15542.00
Eastern Asia,2022,GDP per capita (US dollars),15063.00
Eastern Asia,1995,GDP in constant 2015 prices (millions of US dollars),6641899.00
