customer_age,customer_income,home_ownership,loan_intent,loan_grade,loan_amount,loan_int_rate,term_years,cred_hist_length,Current_loan_status
23,120000,RENT,EDUCATION,A,25600,12.69,10,3,NO DEFAULT
24,12360,OWN,MEDICAL,B,1600,13.57,4,3,NO DEFAULT
22,60000,RENT,VENTURE,A,25475,10.99,10,3,NO DEFAULT
25,234000,MORTGAGE,MEDICAL,B,20000,14.27,10,4,NO DEFAULT
24,234000,OWN,HOME IMPROVEMENT,A,20000,8.88,10,4,NO DEFAULT
26,234000,MORTGAGE,HOME IMPROVEMENT,A,21600,12.18,10,3,NO DEFAULT
25,221004,MORTGAGE,DEBT CONSOLIDATION,C,11900,14.42,10,3,DEFAULT
26,232500,MORTGAGE,MEDICAL,B,25000,14.17,10,2,NO DEFAULT
25,230000,MORTGAGE,MEDICAL,B,35000,13.99,10,4,NO DEFAULT
23,83000,RENT,EDUCATION,A,25300,10.99,10,3,NO DEFAULT
22,12600,MORTGAGE,PERSONAL,A,2000,5.42,2,4,DEFAULT
25,12600,OWN,PERSONAL,B,1750,13.61,5,3,NO DEFAULT
21,42500,RENT,EDUCATION,B,25000,12.73,10,3,DEFAULT
24,41000,RENT,HOME IMPROVEMENT,C,25000,10.99,10,3,DEFAULT
25,12816,OWN,DEBT CONSOLIDATION,B,3000,12.87,5,4,DEFAULT
24,12960,MORTGAGE,HOME IMPROVEMENT,A,3650,9.91,4,3,DEFAULT
26,226000,MORTGAGE,HOME IMPROVEMENT,A,20000,11.49,10,4,NO DEFAULT
25,225000,MORTGAGE,HOME IMPROVEMENT,D,30000,19.91,10,2,NO DEFAULT
26,213000,MORTGAGE,EDUCATION,A,35000,10.65,10,2,DEFAULT
24,225000,RENT,MEDICAL,A,6000,10.99,4,4,NO DEFAULT
24,12960,MORTGAGE,DEBT CONSOLIDATION,A,4500,11.83,4,4,DEFAULT
23,12996,OWN,DEBT CONSOLIDATION,B,2400,13.49,3,2,DEFAULT
22,42000,RENT,MEDICAL,C,25000,14.59,10,2,DEFAULT
26,48000,RENT,EDUCATION,B,25000,9.64,10,4,DEFAULT
25,12996,OWN,MEDICAL,C,3600,14.59,5,3,DEFAULT
22,12996,OWN,EDUCATION,A,4750,10.99,2,3,DEFAULT
25,42360,RENT,EDUCATION,D,25000,16.35,10,3,DEFAULT
21,49000,RENT,EDUCATION,B,25000,10.99,10,2,DEFAULT
25,225000,MORTGAGE,VENTURE,E,25000,18.67,10,2,NO DEFAULT
26,225000,RENT,EDUCATION,A,3000,9.32,6,4,NO DEFAULT
23,225000,RENT,DEBT CONSOLIDATION,A,7500,8.63,3,2,NO DEFAULT
26,225000,MORTGAGE,VENTURE,A,25000,10.08,10,2,NO DEFAULT
22,49464,RENT,PERSONAL,B,25000,11.83,10,3,DEFAULT
23,50000,RENT,DEBT CONSOLIDATION,A,25000,7.9,10,3,NO DEFAULT
25,50000,RENT,HOME IMPROVEMENT,A,25000,5.99,10,2,DEFAULT
24,44000,RENT,DEBT CONSOLIDATION,C,25000,15.33,10,2,DEFAULT
23,50000,RENT,VENTURE,A,25000,11.83,10,4,NO DEFAULT
22,50004,RENT,VENTURE,A,25000,10.36,10,2,NO DEFAULT
22,50004,RENT,VENTURE,B,25000,12.23,10,3,DEFAULT
22,52000,RENT,EDUCATION,A,25000,11.11,10,4,NO DEFAULT
23,13200,OWN,DEBT CONSOLIDATION,A,4950,7.9,3,4,DEFAULT
24,220000,MORTGAGE,EDUCATION,A,25000,11.58,10,2,NO DEFAULT
23,216000,MORTGAGE,DEBT CONSOLIDATION,A,21000,8.9,10,3,NO DEFAULT
25,216000,MORTGAGE,EDUCATION,C,25000,16.07,10,3,NO DEFAULT
26,216000,MORTGAGE,EDUCATION,B,20000,14.22,10,2,NO DEFAULT
23,215000,MORTGAGE,MEDICAL,B,35000,14.79,10,3,NO DEFAULT
26,215000,MORTGAGE,EDUCATION,A,12000,7.88,10,2,NO DEFAULT
23,52000,RENT,PERSONAL,B,25000,13.22,10,2,DEFAULT
26,46000,RENT,DEBT CONSOLIDATION,C,25000,11.86,10,4,DEFAULT
22,53000,RENT,EDUCATION,B,25000,13.43,10,4,DEFAULT
26,47000,RENT,HOME IMPROVEMENT,C,25000,15.28,10,2,DEFAULT
23,47000,RENT,VENTURE,D,25000,17.93,10,2,DEFAULT
23,13200,MORTGAGE,EDUCATION,A,1400,9.25,3,4,NO DEFAULT
21,13200,OWN,VENTURE,B,4500,12.98,1,4,DEFAULT
22,210000,MORTGAGE,VENTURE,A,16000,10.62,10,4,NO DEFAULT
26,210000,OWN,PERSONAL,A,22000,11.83,10,4,NO DEFAULT
26,48000,RENT,VENTURE,E,25000,18.43,10,2,DEFAULT
22,54996,RENT,EDUCATION,A,25000,10.99,10,4,NO DEFAULT
24,55000,RENT,HOME IMPROVEMENT,C,25000,10.99,10,4,DEFAULT
23,55000,RENT,EDUCATION,A,25000,11.36,10,3,NO DEFAULT
23,55000,RENT,EDUCATION,C,25000,15.65,10,3,DEFAULT
24,55164,RENT,PERSONAL,B,25000,13.22,10,4,DEFAULT
26,56000,RENT,DEBT CONSOLIDATION,B,25000,12.87,10,2,DEFAULT
24,203500,OWN,MEDICAL,B,20000,13.04,10,3,NO DEFAULT
23,190000,MORTGAGE,EDUCATION,E,22000,17.58,10,3,DEFAULT
23,13920,OWN,PERSONAL,D,7750,17.04,3,4,DEFAULT
24,60000,RENT,PERSONAL,A,25000,10.99,10,3,DEFAULT
24,60000,RENT,PERSONAL,A,25000,11.11,10,3,DEFAULT
26,54000,RENT,DEBT CONSOLIDATION,C,25000,14.83,10,2,DEFAULT
23,14000,OWN,DEBT CONSOLIDATION,C,4000,10.99,3,3,DEFAULT
24,200000,RENT,MEDICAL,A,12000,12.69,10,2,NO DEFAULT
24,200000,MORTGAGE,HOME IMPROVEMENT,B,12000,13.49,10,2,NO DEFAULT
21,200000,MORTGAGE,EDUCATION,B,16000,14.65,10,4,NO DEFAULT
25,54000,RENT,HOME IMPROVEMENT,D,25000,16.82,10,4,DEFAULT
23,60000,RENT,PERSONAL,B,25000,12.73,10,3,DEFAULT
23,60000,RENT,PERSONAL,A,25000,10.25,10,4,DEFAULT
21,60000,RENT,EDUCATION,A,25000,10.99,10,4,DEFAULT
25,61959,RENT,MEDICAL,B,25000,12.73,10,2,DEFAULT
22,56400,RENT,HOME IMPROVEMENT,C,25000,14.96,10,3,DEFAULT
23,200000,MORTGAGE,EDUCATION,A,28000,10.99,10,2,NO DEFAULT
21,200000,MORTGAGE,DEBT CONSOLIDATION,B,25000,13.99,10,2,NO DEFAULT
24,200000,MORTGAGE,VENTURE,A,24000,7.49,10,4,NO DEFAULT
26,200000,MORTGAGE,EDUCATION,B,15000,14.79,10,3,NO DEFAULT
25,200000,MORTGAGE,DEBT CONSOLIDATION,A,15500,11.99,10,2,NO DEFAULT
24,200000,RENT,EDUCATION,A,10000,8.49,4,4,NO DEFAULT
24,66000,RENT,EDUCATION,A,25000,9.91,10,2,DEFAULT
22,66000,RENT,EDUCATION,B,25000,13.06,10,3,DEFAULT
22,200000,MORTGAGE,DEBT CONSOLIDATION,A,9000,6.17,2,4,NO DEFAULT
25,200000,RENT,EDUCATION,C,18000,16.32,10,3,NO DEFAULT
25,200000,MORTGAGE,VENTURE,A,12000,10.38,10,2,NO DEFAULT
25,200000,MORTGAGE,PERSONAL,B,23050,14.35,10,3,NO DEFAULT
24,200000,MORTGAGE,DEBT CONSOLIDATION,A,20000,10.99,10,3,NO DEFAULT
24,60000,RENT,DEBT CONSOLIDATION,D,25000,10.99,10,2,DEFAULT
21,14400,OWN,HOME IMPROVEMENT,A,3000,10.99,1,4,DEFAULT
26,66996,RENT,PERSONAL,C,25000,15.21,10,2,DEFAULT
23,67000,RENT,EDUCATION,A,25000,7.9,10,4,DEFAULT
24,67000,RENT,VENTURE,A,25000,10.99,10,3,DEFAULT
24,68000,RENT,PERSONAL,C,25000,14.09,10,3,DEFAULT
25,69000,RENT,PERSONAL,C,25000,17.49,10,2,DEFAULT
25,200000,MORTGAGE,EDUCATION,A,12000,11.48,10,3,NO DEFAULT
26,188000,MORTGAGE,VENTURE,D,20000,17.74,10,2,DEFAULT
26,200000,MORTGAGE,PERSONAL,B,3000,13.92,6,3,NO DEFAULT
25,69996,RENT,EDUCATION,C,25000,15.21,10,3,DEFAULT
22,14400,OWN,MEDICAL,A,4000,10.99,2,3,DEFAULT
24,70000,RENT,EDUCATION,A,25000,11.86,10,4,DEFAULT
24,14400,OWN,PERSONAL,A,6000,7.49,4,3,DEFAULT
24,56100,RENT,MEDICAL,C,25000,16.49,10,4,DEFAULT
25,66000,RENT,VENTURE,C,25000,15.33,10,2,DEFAULT
26,66000,RENT,HOME IMPROVEMENT,A,25000,11.58,10,4,DEFAULT
25,14400,OWN,EDUCATION,A,5375,5.79,5,2,DEFAULT
25,72612,RENT,MEDICAL,B,25000,13.11,10,2,DEFAULT
23,74000,RENT,MEDICAL,A,25000,10.36,10,3,DEFAULT
25,75000,RENT,DEBT CONSOLIDATION,A,25000,10.36,10,2,DEFAULT
24,192000,RENT,MEDICAL,B,22000,10.99,10,2,NO DEFAULT
21,192000,MORTGAGE,VENTURE,A,20000,6.54,10,4,NO DEFAULT
25,191000,MORTGAGE,MEDICAL,A,10000,12.53,5,4,NO DEFAULT
26,190300,MORTGAGE,PERSONAL,A,15000,10.99,10,3,NO DEFAULT
22,190000,MORTGAGE,VENTURE,B,10000,10.99,2,3,NO DEFAULT
24,75000,RENT,EDUCATION,A,25000,10.25,10,4,DEFAULT
22,71000,RENT,EDUCATION,C,25000,15.95,10,4,DEFAULT
26,190000,MORTGAGE,VENTURE,A,20000,12.18,10,4,NO DEFAULT
23,189996,OWN,PERSONAL,A,24000,11.83,10,3,NO DEFAULT
23,78000,RENT,VENTURE,A,25000,10.62,10,3,DEFAULT
23,78504,RENT,VENTURE,A,25000,10.74,10,3,DEFAULT
25,186000,OWN,VENTURE,A,10000,10.25,5,4,NO DEFAULT
24,185000,MORTGAGE,EDUCATION,A,35000,12.42,10,2,NO DEFAULT
25,185000,RENT,VENTURE,B,15000,15.27,10,2,NO DEFAULT
24,62050,RENT,MEDICAL,C,25000,15.33,10,2,DEFAULT
23,79416,RENT,VENTURE,C,25000,15.21,10,2,DEFAULT
21,14400,OWN,VENTURE,B,6250,14.72,1,2,DEFAULT
24,79631,RENT,PERSONAL,C,25000,15.7,10,2,DEFAULT
24,79632,RENT,EDUCATION,B,25000,13.35,10,4,DEFAULT
21,14400,MORTGAGE,MEDICAL,B,1500,10.99,1,4,NO DEFAULT
24,80000,RENT,EDUCATION,A,25000,6.62,10,2,DEFAULT
26,80000,RENT,DEBT CONSOLIDATION,B,25000,13.61,10,4,DEFAULT
22,185000,RENT,MEDICAL,A,25000,11.36,10,2,NO DEFAULT
26,185000,OWN,PERSONAL,A,5000,7.68,6,2,NO DEFAULT
24,184992,RENT,HOME IMPROVEMENT,C,22000,14.46,10,4,NO DEFAULT
23,184000,OWN,EDUCATION,A,2500,11.83,3,2,NO DEFAULT
24,172000,MORTGAGE,DEBT CONSOLIDATION,B,20000,13.47,10,4,DEFAULT
24,183000,MORTGAGE,MEDICAL,A,20000,11.49,10,3,NO DEFAULT
22,183000,MORTGAGE,EDUCATION,A,1000,10.99,2,2,NO DEFAULT
25,182952,MORTGAGE,PERSONAL,A,15000,6.03,10,3,NO DEFAULT
23,74004,RENT,DEBT CONSOLIDATION,D,25000,16.35,10,4,DEFAULT
26,74004,RENT,DEBT CONSOLIDATION,C,25000,10.99,10,4,DEFAULT
25,81000,RENT,DEBT CONSOLIDATION,A,25000,7.29,10,3,DEFAULT
23,81600,RENT,MEDICAL,A,25000,11.36,10,3,DEFAULT
24,82000,RENT,VENTURE,A,25000,10.25,10,2,NO DEFAULT
24,83000,RENT,EDUCATION,A,25000,11.12,10,3,NO DEFAULT
24,83000,RENT,PERSONAL,C,25000,12.92,10,3,NO DEFAULT
24,180000,RENT,EDUCATION,D,18000,18.64,10,4,NO DEFAULT
23,180000,MORTGAGE,PERSONAL,A,28000,7.51,10,3,NO DEFAULT
23,14400,OWN,HOME IMPROVEMENT,D,4000,16.7,3,2,DEFAULT
22,14400,OWN,PERSONAL,A,2100,11.14,2,4,NO DEFAULT
22,84500,RENT,PERSONAL,E,25000,18.3,10,4,NO DEFAULT
24,85000,RENT,MEDICAL,A,25000,10.62,10,4,NO DEFAULT
24,180000,MORTGAGE,VENTURE,A,14000,11.99,10,2,NO DEFAULT
26,180000,MORTGAGE,VENTURE,A,12000,9.63,10,4,NO DEFAULT
25,142800,MORTGAGE,MEDICAL,E,10000,18.25,5,4,DEFAULT
23,14664,MORTGAGE,DEBT CONSOLIDATION,B,6000,10.99,3,4,DEFAULT
24,87000,RENT,HOME IMPROVEMENT,C,25000,14.84,10,3,NO DEFAULT
24,75000,RENT,VENTURE,D,25000,14.7,10,3,DEFAULT
23,76000,RENT,DEBT CONSOLIDATION,C,25000,16.02,10,4,DEFAULT
23,66215,RENT,MEDICAL,C,25000,15.37,10,2,DEFAULT
25,90000,RENT,MEDICAL,A,25000,10.99,10,4,NO DEFAULT
21,15000,OWN,HOME IMPROVEMENT,A,6200,7.9,1,2,DEFAULT
26,180000,OWN,PERSONAL,A,25000,10.99,10,4,NO DEFAULT
24,180000,OWN,EDUCATION,A,21000,11.48,10,3,NO DEFAULT
25,180000,OWN,MEDICAL,B,20000,14.26,10,4,NO DEFAULT
26,180000,OWN,HOME IMPROVEMENT,A,10000,8,6,4,NO DEFAULT
25,180000,MORTGAGE,VENTURE,A,9950,11.26,5,2,NO DEFAULT
23,15000,OWN,MEDICAL,A,4475,10.99,3,4,DEFAULT
23,78000,RENT,VENTURE,C,25000,16.32,10,3,DEFAULT
25,66300,RENT,MEDICAL,D,25000,17.93,10,4,DEFAULT
23,90000,RENT,DEBT CONSOLIDATION,A,25000,11.36,10,3,NO DEFAULT
24,79000,RENT,DEBT CONSOLIDATION,C,25000,14.96,10,4,DEFAULT
24,91800,RENT,PERSONAL,B,25000,13.43,10,3,NO DEFAULT
25,92000,RENT,HOME IMPROVEMENT,A,25000,12.69,10,3,NO DEFAULT
24,92000,RENT,VENTURE,B,25000,12.73,10,4,NO DEFAULT
23,93600,RENT,VENTURE,C,25000,15.21,10,4,NO DEFAULT
23,15000,MORTGAGE,MEDICAL,B,1750,12.68,3,3,NO DEFAULT
23,70550,RENT,MEDICAL,E,25000,19.04,10,4,DEFAULT
25,83800,RENT,DEBT CONSOLIDATION,C,25000,15.95,10,3,DEFAULT
26,175000,MORTGAGE,VENTURE,A,2600,8.9,6,4,NO DEFAULT
25,175000,MORTGAGE,HOME IMPROVEMENT,A,8000,7.9,5,2,NO DEFAULT
22,175000,MORTGAGE,EDUCATION,A,18000,10.99,10,2,NO DEFAULT
23,175000,MORTGAGE,PERSONAL,A,21000,11.99,10,3,NO DEFAULT
23,15000,OWN,DEBT CONSOLIDATION,B,4000,13.98,3,4,DEFAULT
23,15000,OWN,VENTURE,A,4600,10.99,3,2,DEFAULT
22,88000,RENT,DEBT CONSOLIDATION,C,25000,15.58,10,2,DEFAULT
25,74800,RENT,MEDICAL,A,25000,10.99,10,2,DEFAULT
25,88000,RENT,VENTURE,C,25000,14.96,10,4,DEFAULT
25,15000,OWN,HOME IMPROVEMENT,C,1750,15.31,5,4,NO DEFAULT
26,88000,RENT,VENTURE,C,25000,15.65,10,3,DEFAULT
25,100000,RENT,VENTURE,A,25000,9.33,10,4,NO DEFAULT
23,15000,MORTGAGE,PERSONAL,B,3600,13.47,3,4,DEFAULT
24,102400,RENT,PERSONAL,A,25000,10.36,10,3,NO DEFAULT
24,92000,RENT,HOME IMPROVEMENT,D,25000,16.77,10,4,DEFAULT
23,93000,RENT,DEBT CONSOLIDATION,C,25000,14.59,10,2,DEFAULT
22,175000,RENT,VENTURE,B,3500,11.91,2,2,NO DEFAULT
23,175000,MORTGAGE,EDUCATION,A,7200,8.38,3,3,NO DEFAULT
25,174708,RENT,VENTURE,A,9000,10.59,5,3,NO DEFAULT
25,174000,MORTGAGE,DEBT CONSOLIDATION,B,8800,14.27,5,3,NO DEFAULT
26,174000,RENT,DEBT CONSOLIDATION,A,12000,12.53,10,4,NO DEFAULT
25,162000,MORTGAGE,DEBT CONSOLIDATION,D,25000,16,10,3,DEFAULT
26,173467,MORTGAGE,VENTURE,A,10000,11.71,6,4,NO DEFAULT
21,15000,OWN,HOME IMPROVEMENT,B,3175,11.54,1,3,DEFAULT
25,96000,RENT,HOME IMPROVEMENT,D,25000,15.68,10,4,DEFAULT
21,15120,MORTGAGE,EDUCATION,A,1500,10.59,1,2,NO DEFAULT
24,97908,RENT,HOME IMPROVEMENT,C,25000,12.61,10,2,DEFAULT
26,110000,RENT,PERSONAL,B,25000,10.99,10,2,NO DEFAULT
23,15204,MORTGAGE,PERSONAL,A,2800,8.49,3,3,DEFAULT
25,159600,RENT,PERSONAL,C,30000,17.27,10,4,DEFAULT
24,171500,RENT,DEBT CONSOLIDATION,A,18000,8.9,10,4,NO DEFAULT
25,170004,MORTGAGE,MEDICAL,A,10000,11.11,5,4,NO DEFAULT
24,158004,RENT,HOME IMPROVEMENT,C,25000,14.59,10,2,DEFAULT
26,170000,RENT,VENTURE,A,13000,12.42,10,3,NO DEFAULT
24,83300,RENT,MEDICAL,C,25000,10.99,10,2,DEFAULT
24,110000,RENT,HOME IMPROVEMENT,C,25000,15.7,10,2,NO DEFAULT
22,15360,OWN,HOME IMPROVEMENT,A,2500,12.53,2,3,DEFAULT
25,134300,RENT,MEDICAL,C,5000,16.49,5,2,DEFAULT
25,170000,MORTGAGE,EDUCATION,A,20000,7.49,10,2,NO DEFAULT
22,100580,RENT,DEBT CONSOLIDATION,C,25000,14.96,10,2,DEFAULT
25,113000,RENT,MEDICAL,B,25000,12.73,10,4,NO DEFAULT
24,120000,RENT,EDUCATION,A,25000,10.65,10,4,NO DEFAULT
25,120000,RENT,MEDICAL,A,1000000,10.74,10,2,DEFAULT
23,120000,RENT,EDUCATION,A,25000,9.99,10,2,NO DEFAULT
24,91800,RENT,MEDICAL,C,25000,15.33,10,2,DEFAULT
21,15600,OWN,VENTURE,A,1000,7.29,1,4,NO DEFAULT
26,108000,RENT,PERSONAL,C,25000,15.05,10,3,DEFAULT
26,129996,RENT,PERSONAL,A,25000,10.75,10,3,NO DEFAULT
23,130000,RENT,EDUCATION,C,25000,16.02,10,2,NO DEFAULT
23,130000,RENT,VENTURE,A,25000,11.49,10,4,NO DEFAULT
25,170000,OWN,EDUCATION,A,20000,12.53,10,4,NO DEFAULT
26,170000,MORTGAGE,VENTURE,B,12000,13.57,10,2,NO DEFAULT
22,169000,RENT,PERSONAL,A,14000,11.14,10,3,NO DEFAULT
26,168750,RENT,MEDICAL,B,24250,12.87,10,3,NO DEFAULT
23,168600,RENT,EDUCATION,A,20000,11.58,10,3,NO DEFAULT
24,168288,RENT,HOME IMPROVEMENT,A,1800,11.12,4,3,NO DEFAULT
25,168000,MORTGAGE,PERSONAL,A,35000,10.65,10,2,NO DEFAULT
24,133300,RENT,DEBT CONSOLIDATION,A,25000,10.37,10,2,NO DEFAULT
24,15600,OWN,HOME IMPROVEMENT,A,3300,6.39,4,4,DEFAULT
24,134000,RENT,PERSONAL,C,25000,16.07,10,3,NO DEFAULT
25,134000,RENT,MEDICAL,A,25000,10.62,10,2,NO DEFAULT
25,15600,OWN,VENTURE,E,3200,18.09,5,2,DEFAULT
25,135000,RENT,EDUCATION,A,25000,11.36,10,4,NO DEFAULT
26,135660,RENT,DEBT CONSOLIDATION,A,25000,12.53,10,4,NO DEFAULT
25,145000,RENT,EDUCATION,A,25000,9.99,10,4,NO DEFAULT
23,150000,RENT,EDUCATION,A,25000,10.36,10,3,NO DEFAULT
23,165000,MORTGAGE,EDUCATION,A,9600,5.99,3,3,NO DEFAULT
22,153000,MORTGAGE,DEBT CONSOLIDATION,C,24000,15.62,10,2,DEFAULT
24,165000,MORTGAGE,PERSONAL,A,20000,10.37,10,4,NO DEFAULT
25,165000,MORTGAGE,HOME IMPROVEMENT,E,25000,19.74,10,4,NO DEFAULT
21,165000,MORTGAGE,EDUCATION,A,20000,6.91,10,4,NO DEFAULT
23,16000,OWN,MEDICAL,A,6000,7.9,3,2,DEFAULT
